China,Haijing5901,12000
Vietnam,FormerUSHamiltonClassCutter,3000
Philippines,BRPTeresaMagbanua,2265
Brunei,DarussalamPatrolVessel,1625
Indonesia,TanjungDatuPatrolVessel,2400
