"9.56","112.90"
"4.95","109.85"
"7.98","117.05"
"7.51","109.08"
"23.04","113.52"
"9.73","115.86"
"16.25","111.63"
"5.68","112.48"
"24.54","118.09"
"7.25","111.36"
"12.00","113.00"
"21.76","113.75"
"5.80","110.01"
"4.83","119.69"
"6.97","113.78"
"24.81","119.92"
"15.78","111.20"
"22.28","114.17"
"12.00","113.00"
"11.58","116.83"
"4.02","108.25"
"4.02","108.25"
"3.94","108.38"
"4.02","108.25"
"4.02","108.25"
"12.00","113.00"
"25.38","126.42"
"16.67","112.33"
"16.84","112.34"
"23.53","123.70"
"12.00","113.00"
"23.95","121.81"
"12.00","113.00"
"12.88","111.07"
"6.85","112.47"
"35.11","129.06"
"12.00","113.00"
"10.72","115.83"
"35.11","129.06"
"12.00","113.00"
"12.00","113.00"
"16.67","112.33"
"1.43","102.89"
"16.58","112.63"
"13.52","120.26"
"17.69","112.57"
"20.70","116.73"
"0.00","102.00"
"12.00","113.00"
"24.81","119.92"
"4.26","108.21"
"19.35","116.29"
"0.00","102.00"
"0.00","102.00"
"1.38","103.05"
"12.00","113.00"
"18.23","109.50"
"5.60","112.60"
"5.02","112.75"
"5.03","97.31"
"24.81","119.92"
"10.72","115.83"
"10.72","115.83"
"4.02","108.25"
"11.05","114.28"
"4.02","108.25"
"9.73","115.86"
"14.58","120.97"
"8.35","115.24"
"10.72","115.83"
"11.57","118.85"
"9.55","112.89"
"10.72","115.83"
"16.67","112.33"
"9.55","112.89"
"10.92","114.08"
"16.67","112.33"
"16.07","109.69"
"6.83","111.71"
"9.55","112.89"
"16.67","112.33"
"10.72","115.83"
"21.73","121.03"
"5.16","109.27"
"12.00","113.00"
"16.67","112.33"
"11.33","116.83"
"15.15","117.76"
"12.00","113.00"
"9.55","112.89"
"9.90","115.53"
"10.92","114.08"
"3.98","108.14"
"3.98","108.14"
"24.81","119.92"
"16.67","112.33"
"3.35","111.12"
"24.81","119.92"
"6.13","105.31"
"9.72","114.28"
"10.21","114.22"
"9.77","114.26"
"15.15","117.76"
"5.60","112.60"
"1.47","105.77"
"4.02","108.25"
"4.02","108.25"
"4.02","108.25"
"4.02","108.25"
"8.42","110.10"
"12.00","113.00"
"4.02","108.25"
"14.59","120.94"
"10.72","115.83"
"12.00","113.00"
"20.21","110.50"
"12.00","113.00"
"25.38","126.42"
"12.00","113.00"
"23.06","118.47"
"16.21","110.19"
"12.00","113.00"
"1.62","109.04"
"15.15","117.76"
"5.16","109.27"
"5.16","109.27"
"5.16","109.27"
"12.00","113.00"
"139.96","139.96"
"165.30","117.06"
"16.59","111.71"
"16.67","112.73"
"11.12","111.98"
"16.42","112.03"
"12.00","113.00"
"12.00","113.00"
"7.55","108.89"
"12.00","113.00"
"7.55","108.89"
"4.19","99.49"
"12.00","113.00"
"3.36","112.13"
"11.33","116.83"
"12.00","113.00"
"12.00","113.00"
"18.19","109.56"
"35.49","123.80"
"23.06","118.47"
"17.08","107.44"
"17.29","107.48"
"17.19","107.41"
"21.91","118.92"
"1.70","106.22"
"1.70","106.22"
"21.17","107.76"
"16.67","112.33"
"22.37","113.78"
"1.98","104.19"
"15.16","109.74"
"12.00","113.00"
"7.58","109.61"
"18.32","109.45"
"16.47","119.43"
"18.19","109.56"
"5.60","112.60"
"5.60","112.60"
"12.00","113.00"
"3.65","112.27"
"16.47","119.43"
"17.85","109.59"
"12.00","113.00"
"24.81","119.92"
"-6.13","120.50"
"9.80","114.18"
"20.53","109.17"
"19.62","110.958.889"
"5.92","105.88"
"20.16","108.80"
"12.00","113.00"
"20.61","109.69"
"9.95","114.66"
"5.23","110.08"
"9.95","114.66"
"9.95","114.66"
"9.95","114.66"
"25.75","123.49"
"12.00","113.00"
"9.81","115.23"
"12.00","113.00"
"15.15","117.77"
"9.72","116.47"
"12.00","113.00"
"5.09","112.17"
"1.46","103.87"
"6.22","108.11"
"12.00","113.00"
"16.67","112.33"
"10.72","115.83"
"11.93","116.88"
"12.00","113.00"
"4.02","108.25"
"19.35","116.29"
"4.26","108.21"
"4.26","108.21"
"4.26","108.21"
"4.57","113.95"
"6.44","109.34"
"4.02","108.25"
"4.26","108.21"
"14.03","117.95"
"4.26","108.21"
"9.73","115.86"
"9.73","115.86"
"24.81","119.92"
"25.38","126.42"
"12.00","113.00"
"12.00","113.00"
"11.05","114.28"
"14.54","120.49"
"13.56","124.25"
"9.90","115.53"
"16.67","112.33"
"10.00","114.67"
"11.05","114.28"
"10.00","114.67"
"10.92","114.08"
"10.00","114.67"
"10.00","114.67"
"9.90","114.47"
"11.05","114.28"
"9.90","115.53"
"9.55","112.89"
"10.92","114.08"
"9.90","115.53"
"9.90","114.47"
"22.62","120.27"
"12.00","113.00"
"9.99","117.20"
"11.05","114.28"
"10.00","114.67"
"15.15","117.76"
"10.00","114.67"
"10.00","118.72"
"15.15","117.76"
"10.00","114.67"
"11.05","114.28"
"9.78","116.47"
"9.76","116.52"
"9.72","116.54"
"9.68","116.52"
"9.66","116.47"
"9.68","116.43"
"9.72","116.41"
"9.76","116.43"
"10.00","114.67"
"9.73","115.86"
"11.05","114.28"
"9.73","115.86"
"9.72","116.47"
"12.00","113.00"
"9.90","115.53"
"10.72","115.83"
"11.33","116.83"
"9.73","115.86"
"11.05","114.28"
"10.92","114.08"
"11.06","114.21"
"10.71","114.53"
"10.67","114.42"
"10.21","114.22"
"9.55","112.89"
"10.00","114.67"
"9.90","114.56"
"9.72","114.28"
"10.05","113.85"
"15.15","117.76"
"10.72","115.83"
"10.21","114.22"
"11.05","114.28"
"19.91","114.50"
"9.90","114.47"
